id,false_sent,connector,explanation0,explanation1,explanation2,label
4581,Oscar got a clever tire, This is false because ,The tire of Oscar is stupid,Clever can not use as a adjective for tire,Oscar has no tire,1
4582,A rabbit can run., This is false because ,Rabbits' legs are shorter than horses' .,"Rabbit can only jump, but not run.",Rabbits don't have as much power as horses.,1
4583,We can see the sun tonight., This is false because ,The sun is too bright for the night.,Sun can not be seen at night.,The sun is too hot for the night.,1
4584,Bee collecting honey on a stone, This is false because ,The bee falls on a stone,There is no honey on the stone,The bee falls on a flower,1
4585,One can open a plate, This is false because ,there is no knob on a plate,a plate with knob patterns is flat,Plate cannot be closed,2
4586,A stone can be used for eating., This is false because ,A stone is too hard to eat.,A stone doesn't taste as good as an apple.,A stone is too dirty to eat.,0
4587,"John ran around the ship's poop, and fell in.", This is false because ,john is too tired to run around.,the ship doesn't have enough poops.,people can't run on the ship's poop.,2
4588,We will laugh when we see a tragedy., This is false because ,It's impolite to laugh at the tragedy.,Most people will feel sad when they see a tragedy.,The tragedy is so bored that it can't make us laugh.,1
4589,A thing you might want to do before traveling to another country is to download a movie, This is false because ,Downloading a movie needs good wifi signal,Downloading a movie before traveling is a waste of time,A movie might not help a traveler in a new place,2
4590,Jane doesn't know her birthday., This is false because ,It's weird for someone who doesn't know his birthday.,Jane cares a lot about her birthday.,Jane cares a lot about her age.,0
4591,Telephones can require water to work, This is false because ,Telephones can require nothing to work,Water is hard to get in work scenarios of telephones,Water can not afford power to telephones,2
4592,Will had climbed many more monitors., This is false because ,monitor is not as high as mountain.,no one can stand on a monitor.,there aren't so many monitors.,1
4593,The preparation to become a doctor is to get a lawyer's qualification certificate, This is false because ,A lawyer and doctor can be friends,Doctor can't get lawyer's qualification certificate,Lawyers and doctors work differently,1
4594,Dressing nice can disturb people., This is false because ,It's very hard to dress nice.,No one cares about how you dress.,People always want to see others dress nice.,2
4595,If you want to take a course then you should go the toilet, This is false because ,the toilet is too dirty for class,the toilet is not big enough,the toilet is used for excretion,2
4596,A man lived on the moon., This is false because ,No man can live on the moon by now.,Living on the moon costs much money.,Living on the moon costs lots of energy.,0
4597,Northerners wear t-shirts outdoors in winter, This is false because ,It's hot indoors in the north in winter,It's cool outdoors in the south in winter,It's cold outdoors in the north in winter,2
4598,Lisa taught John how to breath, This is false because ,John will not learn how to breath,Everyone knows how to breath,Lisa have no patience to teach anyone,1
4599,One of the things you do when you sleep is hold a book, This is false because ,I didn't read books when I was sleeping,No need to take a book when sleeping,"The word ""sleeping"" may be written in a book",1
4600,Groves can be used to protect your hands., This is false because ,groves are too big to protect our hands.,groves are not as soft as gloves.,no one use groves to protect their hands.,2
4601,Wood can conduct electricity, This is false because ,Wood can be destroyed after being electrically conductive,Wood can be seen and electricity can't,Wood is an insulator that is not conductive,2
4602,Jerry likes to have bread with soy sauce for breakfast, This is false because ,Soy sauce is too dark for bread,Soy sauce is too salty for bread,Jerry does not like soy sauce,1
4603,You find a planet around in bedroom, This is false because ,Planets are in space rather than bedroom,Bedroom is small for a planet,You can not find any planet,0
4604,The plant is yellow, This is false because ,The chlorophyll of plants is not yellow,Plants are green because they have chlorophyll,The chlorophyll of plants cannot be seen by the naked eye,1
4605,The effect of going to the store is gaining money, This is false because ,There are so many things in the store that you want to pay for them,Money allows us to go to the store and buy whatever we want,The store owner will only ask for your money and not give it to you,2
4606,Something you need to do before you eat dinner is eat food, This is false because ,We all like to prepare a lot of food for dinner,You can eat before dinner but you don't have to,We also sometimes want to eat after dinner,1
4607,You are likely to find a soup dish around in a bathroom, This is false because ,soup dish can be find in kitchen,soap dish can be find in kitchen like soup dish,soap cannot be put into soup dish,0
4608,If you want to surf the weapon then you should buy a computer first., This is false because ,you can't find weapons on the web.,computer is not a kind of weapon.,weapons can also be found in some magazines.,2
4609,Sally bought a airliner, This is false because ,Sally can not afford the airliner,Single people is not allowed to buy a aerliner,Sally just think of buying a airliner,1
4610,They had walked two meters., This is false because ,there didn't exist two meters.,it's dificult for them to walk two meters.,two meters are too short to walk.,2
4611,Dad washes his feet before every meals, This is false because ,Dad always keeps his feet clean so he does not need to wash them,Dad does not need feet for meals so he does not need to wash them,Dad has washed his feet just half an hour ago so he does not need to wash them again,1
4612,I am trying not to smoke cilantro., This is false because ,smoking cigarettes is unhealthy.,cilantro is a kind of plant.,cilantro doesn't smoke like cigarettes.,1
4613,Stones feel soft., This is false because ,Stones are heavier than silk.,Stones are rough and hard.,Silk is more valuable than stones.,1
4614,Stone is one of the materials for making knives, This is false because ,Knife can cut meat,Knife can hurt people,Knives made of stone are not sharp,2
4615,boats can float in the sky, This is false because ,boats are too heavy to fly in the sky,boats need paddles to move forward,boats are designed to travel on water,2
4616,Something you find at a resturant is a tiger., This is false because ,a tiget live in the wild or in the zoo.,a tiger will eating stealthily in the resturant.,a hamburger will be ate by the tiger.,0
4617,A vase is a tableware, This is false because ,A vase is a cooker,A tableware is for having meals but a case is for decorate,A vase is less been seen on table,1
4618,Chicken in pond, This is false because ,Chicken is smaller than a pond,Chicken fur is waterproof,Chicken can't swim,2
4619,The temperature rises and water turns to ice., This is false because ,Ice is colder than water.,Water can't turn into ice when the temperature rises.,"Only if you heat ice, it turns to water.",1
4620,The thing you need to do before you go on holiday is sing, This is false because ,People can sing while on vacation,Singing while on vacation can alleviate fatigue,Singing is not something to be prepared for vacation,2
4621,Children preyed together every day., This is false because ,preying is not as safe and funny for children as playing.,now no one would catch animals for eating by themselves.,children should prey alone which can help them grow better.,1
4622,Nobody likes chocolate cake, This is false because ,Chocolate cake is delicious,Eating chocolate cake makes you fat,Chocolate cake melts easily,0
4623,You can eat a stone when you are hungry, This is false because ,Stone is hard,The stone is round,Stone can't eat,2
4624,You can feed a dog with cat busicuits, This is false because ,Dogs do not like cat busicuits,Cat busicuits are food for cats,Cat busicuits are too expensive,1
4625,kissing someone is for showing your disgust, This is false because ,We hate being kissed by people who we disgust,Forced kissing can cause disgust to the person,You don't want to kiss someone if you disgust them,2
4626,Pig is probably in a class, This is false because ,Pig is not allowed to be in a class,Pig is having exam,Pig is in teacher's office,0
4627,The Uranus can be seen from the Moon, This is false because ,Uranus is too far away to be seen on the moon,Uranus and the moon exist in the universe,we want to study both Uranus and the moon,0
4628,The sun rises from west every day, This is false because ,The earth rotates from west to east,70% of the earth surface is ocean,The sun is much larger a planet than earth,0
4629,One must drink a lot before driving, This is false because ,Alcohol will make people drunk,Alcohol is not good for health,Alcohol is flammable,0
4630,"When there is a lightning, people always hear the thunder first, and the flash follows", This is false because ,Light travels faster than sound,Lightning usually come with storm,Lightning seldom hits people,0
4631,People can make snow ball in summer, This is false because ,Summer is too hot for snowing,People like eating ice cream in summer,Some places hardly snow in winter,0
4632,Floor will be safer to walk if there is water on it, This is false because ,Slippery floor will make people fall,Water will damage wooden floor,People will need to clean the floor if there is water on it,0
4633,Warfare is a bless for human race, This is false because ,Warfare often happens in this world,Some people will be benefitted through a warfare,Lots of people will die during a warfare,2
4634,People need lots of noise for study, This is false because ,Loud noise can sometimes break the window,Noise can make people distracted,There is not a place absolutely without noise,1
4635,One can have gasoline in their hamburger, This is false because ,Gasoline is not eatable,Gasoline is used by most of the cars,Gasoline is important for lots of industries,0
4636,People can breath in the water, This is false because ,There is no air in the water,People needs to drink water,There will be no life if there is no water,0
4637,Most products are tax-free, This is false because ,A government needs tax to operate,Some governments steal their civilian's privacy,Some governments have personal worship,0
4638,You will make more friends by cursing others, This is false because ,People will be angry if you curse them,People will be happy if you praise them,People will praise you if you are really good to them,0
4639,People should talk louder in the cinema, This is false because ,It is too loud in the cinema,Noise can be annoying in the cinema,Watching movies make people feel relaxing,1
4640,He wear sunglasses because he is short-sighted, This is false because ,Sunglasses is cool,Sunglasses help to prevent eyes from being hurt by sunshine,Sunglasses doesn't help curing short sight,2
4641,One should drive car on the pavement, This is false because ,There are usually trees planted on the pavement,Some roads don't have pavement,"Pavement is for people to walk, not drive",2
4642,An aircraft landed on my desk, This is false because ,Desks are too small for landing aircraft,Desks are usually wooden,Desks are usually sold with chairs,0
4643,Some people are boiling hotpot on an reactor, This is false because ,"Reactor is too hot, too dangerous, as well as too expensive for boiling hotpot",Reactor can be used for generating electricity,There is radiation in a reactor,0
4644,Engineers built a bridge in the class room, This is false because ,Class room is too small to contain a bridge,People don't want to walk in the river,People can fish on the river bank,0
4645,I saw a cow walking in a tree, This is false because ,Cows can provide milk for human,Cows cannot climb trees,Cows can consume tree leaves,1
4646,The professor write on the beach with his pen, This is false because ,Pen can be used for writing,Sand will damage a pen if the pen is used to write on beach,Professors usually know how to write in multiple languages,1
4647,Our sniper terminated an enemy from eight hundred miles away, This is false because ,The enemy is a Japanese soldier,Our sniper is a member of communist party,A sniper rifle cannot shoot that far,2
4648,We should open the window if there's going to be a storm, This is false because ,An opening window will bring us some fresh air,An opening window during a storm will make the room a mess,Windows are fragile,1
4649,One should participate in more parties in order to get good grades, This is false because ,"No one studies in parties, but good grades comes from lots of study time",People usually drink during the parties,Sometimes there will be drug abuse in the parties,0
4650,"It's too hot outside, so we smashed our air conditioner", This is false because ,Air conditioner can be used to warm the room,"Air conditioner can be used to cool the room, we should not break it",Apple don't have air conditioner product,1
4651,Modern people spend more and more time watching a brick, This is false because ,Brick can be used to construct buildings,It's neither interesting nor useful to watch brick,"If one don't study well, he will have to carry bricks as his job",1
4652,The organizer prepared pesticides for the athletes, This is false because ,Pesticides can be used to kill insects,Pesticides is usually sealed in metal bottles,Athletes don't need pesticides during their match,2
4653,"Comrades, said the commander, we are going to have an eight-year warfare", This is false because ,The commander will not know how long will the war last before it ends,The commander is a soldier,The commander have participated a warfare before,0
4654,He was expelled from school because he drunk lots of water, This is false because ,Drinking water don't break any school rules,Cheating in the exam break school rules,Water is not poisonous,0
4655,The subway was too crowded to enter in the midnight, This is false because ,There are very few people take subway at midnight,Subway is a convenient way to travel to another place in the city,Some cities require security check when entering subway,0
4656,She added extra pepper in her bubble tea, This is false because ,Bubble tea is popular in east Asia,People don't like pepper in their milk tea,Bubble tea is usually not expensive,1
4657,The player was criticized by people since he scored in the last minute, This is false because ,The player is a football player,Some people will never be satisfied with others' performance,Scoring in the last minute is a good thing,2
4658,The train hits the moon on the railway, This is false because ,People have landed on the moon before,There is no moon in the railway,There is no cow in the moon,1
4659,Nazi is a bless for Jewish people, This is false because ,Nazi is from Germany,Germany is well known for their machinery,Nazi killed lots of Jewish people in the World War 2,2
4660,It is 39 PM now, This is false because ,39 can be divided by 3,There are only 24 hours in a day,There are 365 days in a year,1
4661,He wrote those code on a calculator, This is false because ,Calculator is not suitable for coding,Macintosh usually runs macOS,Calculator can be used for calculating,0
4662,The hat on his ass is beautiful, This is false because ,The hat is beautiful,"People wear hat on their head, not on their ass",People have hair on their head,1
4663,He ate light bulb for his lunch, This is false because ,Light bulb is one of the greatest invention of human race,Light bulb cannot be eaten,Light bulb needs electricity to turn on,1
4664,He moved the book shelf into his pocket, This is false because ,Book shelf can be used to store books,Book shelf is too big for a pocket,Most of the cars have trunk,1
4665,"It is so cold today, thus she wears her bikini", This is false because ,Bikini makes girls looks sexy,Bikini is not suitable to wear in cold weather,Man can also wear bikini,1
4666,The workers found an ancient iPad when they were digging the ground, This is false because ,"iPad is a kind of electronic device, but ancient people don't have electronic device",iPad runs iOS operating system,Ceramic pots are usually of high value,0
4667,The waitress served him coffee when he was in the metro, This is false because ,Airlines provides lots of food in their airplane,There is no waitress in the metro,Coffee is bitter if there is no sugar,1
4668,The policeman was caught by the robber, This is false because ,Policeman usually have guns,Robbers usually have guns,"Robbers have no reason to catch policeman, since policeman will arrest them",2
4669,He is wearing a green car, This is false because ,No one can wear a car on his head,Some cars are green,Green hat looks beautiful,0
4670,The driver exceeded sound speed with his motor cycle, This is false because ,Motor cycle only have two wheels,Motor cycle couldn't exceed sound speed,Motor cycle consume gasoline instead of electricity,1
4671,The church surrendered after months of warfare, This is false because ,There is not a lot of churches in PR China,Religious people often go to the churches,"Church is not alive, thus it could not surrender",2
4672,Uranium 235 is essential for health, This is false because ,"Uranium 235 is radiant, thus it's harmful for health",Uranium 235 is rarely seen in nature world,Uranium 235 can be beneficial for human,0
4673,"Finally, the babies turned their weapon to the innocent citizen", This is false because ,Babies are too young to use weapons,Soldiers' job are protecting their own citizen,Military expense is paid by citizen via their tax,0
4674,The infant drank lots of beer for its lunch, This is false because ,Milk is good for people's health,"Infants don't drink beer, since alcohol is too harmful for them","Germany, especially Bavaria, is famous for their beer",1
4675,"""I was killed in the car crash"", he said", This is false because ,Car crash can kill people sometimes,Dead person won't say anything,Driving too fast is dangerous,1
4676,"It's his wedding ceremony today, so he chose a fancy dress for himself", This is false because ,Male won't wear dress in formal occasion,Dress is suitable for formal occasion,Wearing a suit is handsome,0
4677,"His dog is walking on the street, holding him", This is false because ,"Dogs are human's pet, they cannot hold human",Dogs are cute,Sometimes people are too lazy to walk,0
4678,The keyboard of my laptop is spying on me, This is false because ,Keyboard is made for typing,"Keyboard on laptops are usually thin, especially for ultra books",Keyboard cannot take photo,2
4679,"He likes playing video games, especially when he is sleeping", This is false because ,"People cannot do anything when they're sleeping, including playing games",Video games are fun to play,Play Station is a video game player,0
4680,He is eating a elephant, This is false because ,Pancake is made from flour,You can find an elephant in Africa,People cannot eat elephant,2
4681,"He slammed his friend, hoping to invite his friend to his party", This is false because ,Some people like being slammed,"Slamming someone is rude, no one invite others in such a way",Drunk people can slam others without knowing anything about it afterwards,1
4682,The athlete was the champion of drinking soy sauce, This is false because ,Drinking soy sauce is not a competition,Soy sauce is widely used in east Asia,Soy sauce is black,0
4683,"The war started, thus the soldiers can go home", This is false because ,"If there is a war, soldiers cannot go home","If there is not a war, there will still be soldiers","If there is a soldier, it doesn't mean there have to be a war",0
4684,Jack's mom praised him because he broke the plate, This is false because ,"Breaking a plate is not a good thing, people won't be praised because of it","Plates are easy to break, people need to be careful when holding them",Plates can be made of ceramic or plastic,0
4685,His girl friend gave him a boy friend as valentine's day gift, This is false because ,Boy friend is not a proper valentine's day gift,Boys can also have boy friends,Valentine's day is more popular among young people,0
4686,The tyre of the horse exploded, This is false because ,Horse can be a kind of traffic method,Horse is a kind of animal,Horse don't have tyre on them,2
4687,The astronaut took a bus to the ISS, This is false because ,People need a ticket to take bus,Buses can carry lots of people,"Buses cannot go to the ISS, they can only run on land",2
4688,The sky is so green today, This is false because ,Sky is not green,Sometimes the sky is not blue,"During the night, the sky is dark",0
4689,He is consistently coughing since he eat too much, This is false because ,Being stroked by water will cause coughing,Eating too much is not good for health,Eating too much is not the reason for coughing,2
4690,People spend time in the gym in order to learn math, This is false because ,Being poor at math will make it difficult for learning physics,Gym is the place for exercising,Gym is not for free in most of the cases,1
4691,Those students skipped the class to learn linear algebra in the internet cafe, This is false because ,It's not good for students to skip their classes,Linear algebra is not easy to learn,Internet cafe is the place for playing computer games,2
4692,The girl took a selfie with her backpack, This is false because ,"Backpack don't have a camera, thus it's not suitable for taking selfie",Backpack is for carrying things,Developers are more likely to hang out with a backpack,0
4693,The barber told the patient's family that the surgery went smoothly, This is false because ,Sometimes surgery fails,The patient's family care about the patient,Barbers don't know how to do surgery,2
4694,"""They finally scored!"", said the narrator, ""They are the final loser of this match.""", This is false because ,Winning a football match is not easy,"Scoring brings more probability for winning, it's not the reason for losing a match",The person who scores is usually the striker of a team,1
4695,"Don't eat too much salad, they are junk food", This is false because ,Salad is usually served with olive oil,Salad is not junk food,Salad sometimes contain meat,1
4696,"The tram stopped, since the tyre of the tram exploded", This is false because ,Trams don't have tyre,Tram rely on electricity to run,Tram can carry more people than bus,0
4697,"He just bought a new bike, thus he can't wait to try out the sound quality", This is false because ,"Bikes have two wheels, that's why they are also called bicycles",Bikes can run as fast as 60 kph,"Bikes can't play any sound, thus no one try a bike's sound quality",2
4698,He was so angry that his face turned blue, This is false because ,Human's face can't turn blue in any conditions,Human have lots of emotions,"When people are angry, they might do something unreasonable",0
4699,The lightning made the whole city as dark as in the night, This is false because ,Lightning can kill people,"Lightning will bring light, not dark",There is a lightning port on iPhone,1
4700,The prisoner is set free after executing his death penalty, This is false because ,Some countries don't have death penalty,Death penalty is adopted for severe crimes,"Death penalty can kill people, dead people won't be free",2
4701,The bus hits air and stopped, This is false because ,Air contains oxygen,Air is essential for human to survive,Solid cannot hit gas,2
4702,"Since the time is running out, he chose to walk to the airport instead of taking a taxi", This is false because ,Walking is much more environmentally friendly than taking a taxi,Train stations are much closer to the city than airports,Taking a taxi is much faster than walking,2
4703,"The lady paid the bill, then tipped the water cup", This is false because ,"In some countries, one don't need to tip after paying the bill","Tip is for the waiter, instead of anything else",Paying the service fee can replace tipping,1
4704,He blew out the light, This is false because ,Candles can be dangerous sometimes,Lights cannot be blew out,Lights are one of the best inventions of the human society,1
4705,Police in Mars are allowed to use legal force, This is false because ,There is police in Hong Kong,There is no police on Mars,Police can shot civilian if they are permitted by the authority,1
4706,The passenger force landed the airplane and avoided a severe crash, This is false because ,Passengers can drink orange juice on the airplane,Passengers may crash on the high way before they access the airport,Passengers are not allowed to control the airplane,2
4707,"The president attended the final match of the world cup, hoping their team will lose", This is false because ,The president are not allowed to participate the football match,A president won't hope his own team to lose,A president can win the election if his football team wins,1
4708,"The boy suddenly stroked, his mom called the firefighters immediately", This is false because ,Firefighters also might stroke,Firefighters cannot deal with medical emergencies,Firefighters all have moms,1
4709,"""I'm proud to be a panda"", said Tim Cook, Apple's CEO", This is false because ,Panda can be gay,Apple's CEO cannot be a panda,Apple's CEO love panda,1
4710,"You are sick, I'm so jealous", This is false because ,Being sick is not a good thing,Sick people feel jealous when they see healthy people,Rich people are less likely to be sick,0
4711,He uses cable to eat sushi, This is false because ,The picture of sushi can be transmitted in the cables,The cable is not a tableware,The cable makers also like sushi as their lunch,1
4712,"""Chicken are so beautiful"", the boy told the girl that he loves", This is false because ,Chicken looks good sometimes,It's strange to praise chicken in front of one's beloved girl,Girls prefer salad than chicken if they want to lose weight,1
4713,I feel myself like a boss since I work so long and earn so few, This is false because ,Bosses need to hire cheap workers to get their business running,"People, most of the cases, are reluctant to work for extend hours",Most of the bosses earn a lot while having short work hour,2
4714,"Prague is an old city, it has been existed in Europe for more than a trillion years", This is false because ,Prague is a city in Europe,Europe has been existed for more than a thousand years ago,There is no human race a trillion years ago,2
4715,He was so shocked because a dog confessed to him, This is false because ,"Male can also fall in love with other boys, this is blessed by Jesus","Dogs cannot confess to human, they can't even speak","Man are born equal, this is guaranteed by declaration of independence",1
4716,"I cannot upload the picture, because my laptop got connection with WiFi", This is false because ,WiFi can be used to upload pictures,Laptops have WiFi module,Uploading files requires response of the server,0
4717,Creativity is the thing that differs Germans and Italians, This is false because ,Germans are human,Italians are human,Germans and Italians both have creativity,2
4718,"There is a huge no smoking warning, thus people should smoke here", This is false because ,Smoking is bad for people's health,No smoking warning means people should not smoke in that place,People don't need to hold a warning board when they are smoking,1
4719,The engineer was glad because his son deleted his project, This is false because ,Modern people can use computer even when they are children,People will be angry if someone deleted their important file,Modern computer will give warning before removing files,1
4720,He turned on the radio before he is going to make an U turn, This is false because ,The radio can have music playing before the car is making an U turn,"According to traffic law, the driver should turn on the indicate before they make a turn",Making U turns in the middle of the road is more likely to cause traffic accident,1
4721,The driver suddenly accelerate since there is a girl on the road, This is false because ,It's dangerous for kids to cross the street by themselves,The car will hit the girl without braking on time,"Drivers avoid crash by braking, not by accelerating",2
4722,"It's raining heavily, people on the street all have a sunglasses on their face", This is false because ,Wearing a sunglasses is cool,Some people also want an umbrella on sunny days,"There is usually no sunshine on rainy days, thus people don't need sunglasses",2
4723,The player's fans all want his tears, This is false because ,Fans can be crazy sometimes,Everyone can have his or her fans,Fans don't want their idol's tear,2
4724,He just had an surgery because he thinks it's fun, This is false because ,Doctors think surgery is fun,Doctors also need surgery if they are injured,No one wants a surgery because it's fun,2
4725,Eating fish is the secret to change gender, This is false because ,Some of the fishes can change their gender,Fishes are fit,Eating fish cannot change people's gender,2
4726,"He turned on the light, then the house fall into darkness", This is false because ,The night is dark,Turning off the light can save electricity,The light can bring brightness,2
4727,His neighbor told him to turn on his TV because of the noise, This is false because ,Turning on the TV can bring more noise,TV shows are attractive,The noise of the TV can affect one's neighbor,0
4728,"The police caught the terrorist on time, stopped him from giving candies to kids", This is false because ,It's police's job to keep the world safe,Giving candies to kids is not a bad thing,The terrorist might die in the explosion they created,1
4729,I was early for the office because of the traffic jam, This is false because ,Traffic jam can be caused by traffic crash,"Traffic jam take extra time, thus this is not the reason for being early","If there is less cars, it's less likely to be a traffic jam",1
4730,He was arrested by the police because he listen to music, This is false because ,Police may arrest innocent people sometimes,Police use violence to make sure people follow their command,Listening to music don't break any law,2
4731,Many people died because of the medicine, This is false because ,Medicine is for saving people,Plague can make people sick,Plague and Prague sounds similar in English,0
4732,People will be happy if you ignore them when you see them, This is false because ,Western people are more likely to greet strangers,Ignoring people can make people angry,People should greet others with proper word,1
4733,The astronaut is unlucky to survive in the explosion, This is false because ,Explosion is a severe accident for the spaceship,It's lucky for a person to survive from a disaster,Astronaut refer to the person who drive a spaceship,1
4734,He bought tons of bread because he was too thirsty, This is false because ,"People should buy drink if they are thirsty, instead of food",Bread contains water,"Bread is made from flour, producing flour requires water",0
4735,It's unbelievable that ancient people learnt how to drink water, This is false because ,Water has been existed on earth for millions of years,Drinking water is nothing special for human,There will be no life if there is no water,1
4736,The cow is hunting on the grassland, This is false because ,Cows are herbivorous,Cows can give milk to human,Animals needs external energy to survive,0
4737,The pig fly away before people catch it, This is false because ,People may catch wild pigs to make barbecue,Pigs can't fly,Pigs are cute when they are young,1
4738,The bacteria society thrives on a piece of bread, This is false because ,Bacteria can live on a piece of bread,Bacteria cannot form society,Bacteria can thrive on organic,1
4739,The forest fire caused huge financial benefit, This is false because ,Forest fire cannot create any benefit financially,Forest can bring many benefits to the world,Forest fire cannot destroy the forest entirely,0
4740,There is a way to cure every kind of cancer now, This is false because ,Cancer can kill people in a very short time,There is not a way to cure every kind of cancer yet,There is currently no vaccine to prevent people from getting cancer,1
4741,The old lady bought iPad because she is afraid of air crash, This is false because ,iPad can be used to watch air crash videos,iPad will neither prevent air crashes nor benefit the old lady's family after the air crash,iPad is not the direct reason for air crashes,1
4742,"The display is damaged, thus I can't hear anything", This is false because ,Display can also be used to create sound with advanced technology,Display cannot be used to aid people's hearing,"Display is used to display things, people will see them",2
4743,His girl friend is angry because he praised her new dress, This is false because ,Dress is not only made for female,People won't be angry if others praise their dressing,Most boys prefer to have female as their partner,1
4744,Adding some vinegar to the coffee will make the flavor easier to be accepted, This is false because ,"Coffee is bitter, thus some people don't like it",People like coffee because its flavor,Vinegar is not a condiment for coffee,2
4745,"My cell phone is out of memory, I need to charge it before I go", This is false because ,Memory is important for electronic devices,Cell phones with larger memory is usually of higher price,Charging cell phones won't help to add memory,2
4746,"The athlete is so thirsty, he ate a whole bag of salt", This is false because ,Salt is import for human life,A certain amount of salt will add flavor to dishes,"No one eat salt, because it will make people too thirsty",2
4747,Pants can bring people new knowledge, This is false because ,It'll be strange if someone don't wear pants,Governments shouldn't have the right to ban books,Pants cannot bring people new knowledge,2
4748,"I bought a panda as my pet, it's so cute", This is false because ,Pandas are a special animal in Sichuan province,Pandas like eating bamboo leaves,"Pandas are not for pets, no individual can keep them in their home",2
4749,I smashed the papers to make them easier to read and take notes, This is false because ,"If a paper is smashed, no one can read them nor take notes","If someone is tired of reading papers, they will smash the papers",People need to take notes when they are reading papers,0
4750,"Don't forget to drive to the supermarket, it make us more environmentally friendly", This is false because ,Driving doesn't count for environmentally friendly,Driving can make it faster to get to the supermarket,"If someone wants to buy lots of things, it's a better option to drive",0
4751,The crab is served with chocolate sauce, This is false because ,Eating too much crab is bad for health,Ginger is spicy,Sea food is hardly served with chocolate sauce,2
4752,"""Fuck off!"", said the waiter, warmly welcoming the boss", This is false because ,Saying dirty words makes people happy,Dirty words is not for welcoming others,It's better not to say dirty words in public,1
4753,"""It's none of your business"", said the staff, apparently he wants to shirk responsibility", This is false because ,"""It's none of your business"" can be rude sometimes","""It's none of your business"" is meant to make others don't intervene something","""It's none of your business"" is a typical English expression",1
4754,"The hiker is badly injured in the mountains, and is rescued by a sports car", This is false because ,Sports car cannot rescue people in the mountains,Sports car can run very fast,Injured people should be sent to hospital immediately,0
4755,"In Germany, whenever you buy plastic bottle, you should pay a penalty", This is false because ,"Deposit is called ""Pfand"" in German",The deposit policy is not executed in Austria,Penalty is paid when people did something they are not supposed to do,2
4756,Gasoline makes the hotpot dip more delicious, This is false because ,People cannot eat gasoline,Human society depends on gasoline,Vehicles need gasoline to operate,0
4757,"All man are born equal, but they share the right to have protest demonstration", This is false because ,The right to have protest demonstration is a reflection of the equality,Some protecting demonstrations are suppressed,Some governments don't want their people to have too much freedom,0
4758,It saves tons of trouble if someone cross the border without a passport, This is false because ,Some people don't need a visa to travel to some countries,Applying for a visa can be a hard job,"Usually, crossing the border need a valid passport",2
4759,Staying in the battlefield can be safe, This is false because ,Battlefield is the name of a famous video game,Battlefield is dangerous,Soldiers will cease fire if one side surrendered,1
4760,"Our ancestors worked so hard in the farm, hoping to harvest in winter", This is false because ,There is no harvest in winter in ancient times,It is usually so cold in winter,Farmers will starve if they can't harvest in fall,0
4761,"It's so hot here, seems everything caught cold", This is false because ,Things cannot catch a cold,Things can't catch fire at the same time,Fire cannot destroy things,0
4762,The engineers tear the building down with candies, This is false because ,Buildings are not built with candies,Candies cannot be used to tear buildings down,Tearing down a building is not an easy job,1
4763,The employer is so happy to get the salary from the employee, This is false because ,Governments have a rule for lowest salary,Employees cannot ask for a leave if this is not approved by the employer,Employers pay salary to employees,2
4764,People are so glad to see the heavy smog in the winter morning, This is false because ,There is more likely to have smog in winter mornings than summer,"Smog is a kind of pollution, it makes people sad and angry",It is colder in winter than summer,1
4765,"There must be trams, since there is no railway on the road", This is false because ,People need tickets to get on the trams,Trams need railway,Some cities do not have trams,1
4766,I'd like an aisle seat to have a better view of the landscape, This is false because ,Aisle is not harder to get in than window seats,Aisle seat is cheaper than window seats,"Aisle seat don't have window, thus people can't have a better view outside",2
4767,"Stone cannot float on the water, thus you can make a boat with them", This is false because ,Traveling by boat is more romantic than taking trains,"Stones can be used to filter water, making the water cleaner",Making a boat requires material that can float on the water,2
4768,"Metro door is closing, please be quick", This is false because ,People should step back and wait for the next train if the door is closing,There is usually alarm when the door is closing,There is emergency button on the metro that can stop the train immediately,0
4769,"I need an ear phone, or I could be late for office", This is false because ,Ear phone can't wake people up,Some companies don't allow employees to use ear phone in the office,It's better to turn down the volume of the ear phone to protect yourself,0
4770,The car rolled over because of a the driver turned on the radio, This is false because ,There can be funny talk show in the radio,Most of the cars are equipped with radios,Turning on the radio cannot cause the car to turn over,2
4771,"This photo is took by a monkey, what a good perspective!", This is false because ,It's difficult to have a good perspective in a photo,Monkeys don't know how to take photo,Photography is a kind of art,1
4772,A steak will give a happy ending to this meal, This is false because ,The starter is quite important for a meal,Meals are end with dessert,White wine is served with seafood,1
4773,The dish is too spicy since I just added too much salt, This is false because ,Asian food is more likely to have more salt,"In western tables, there are usually salt and pepper",Salt is not spicy,2
4774,The soccer fans is going to watch the last match of this season in the toilet, This is false because ,"Everyone needs to go to toilet, including soccer fans",Toilet is not the right place for watching soccer matches,Female soccer fans are not supposed to enter the same toilet with male soccer fans,1
4775,I earned more than a hundred euro because I smashed my cell phone's screen, This is false because ,I can pay with my cell phone for the fix,Fixing a cell phone's screen needs money,A cell phone's screen can be paid by euro,1
4776,I had chairs from Subway as my lunch, This is false because ,"Some restaurant, including Subway, don't have chairs",Sitting down on a chair can make the lunch not look like a hurry,Chairs are not eatable,2
4777,"It's too far to get home from the supermarket, thus I choose walking on foot", This is false because ,Walking is the slowest way of traffic,Walking is good for health,People need to walk a lot when they are shopping in a supermarket,0
